case_id,surface,adsorbate,historical_best_energy_eV,adsorbagent_best_energy_eV,energy_delta_eV,winner,historical_best_label,historical_best_transition,paper_notes
01,01_Mo3Pd_111,H,-2.638,-0.764,-1.874,historical_adsmind,molecular,H_bridge_to_ontop,success/lower-energy flags derived from Eq. 3 and Eq. 4 using the paper's mean energies and a 0.1 eV threshold
02,02_Mo3Pd_111,NNH,-3.937,-1.265,-2.672,historical_adsmind,molecular,N_NH_bridge_to_hollow,derived flag columns use paper mean energies
03,03_Pd3Cu_111,H,-3.029,-0.380,-2.649,historical_adsmind,molecular,H_bridge_to_hollow,derived flag columns use paper mean energies
04,04_Pd3Cu_111,NNH,-3.442,0.745,-4.187,historical_adsmind,dissociated,N_NH_ontop_DISS,derived flag columns use paper mean energies
05,05_Cu3Ag_111,H,-2.558,-0.019,-2.539,historical_adsmind,molecular,H_bridge_to_hollow,derived flag columns use paper mean energies
06,06_Cu3Ag_111,NNH,-2.498,1.504,-4.002,historical_adsmind,dissociated,N_NH_hollow_to_ontop_DISS,derived flag columns use paper mean energies
07,07_Ru3Mo_111,H,-3.840,-0.587,-3.253,historical_adsmind,molecular,H_hollow_to_bridge,derived flag columns use paper mean energies
08,08_Ru3Mo_111,NNH,-4.821,-0.498,-4.323,historical_adsmind,isolated,N_NH_bridge_to_hollow_ISO,derived flag columns use paper mean energies
09,09_Pt_111,OH,-1.932,0.990,-2.922,historical_adsmind,isolated,OH_hollow_to_bridge_ISO,derived flag columns use paper mean energies
10,10_Pt_100,OH,-2.611,0.991,-3.602,historical_adsmind,isolated,OH_hollow_to_bridge_ISO,derived flag columns use paper mean energies
11,11_Pd_111,OH,-2.421,0.814,-3.235,historical_adsmind,molecular,OH_hollow_to_bridge,derived flag columns use paper mean energies
12,12_Au_111,OH,-2.059,1.408,-3.467,historical_adsmind,desorbed,OH_bridge_to_desorbed,derived flag columns use paper mean energies
13,13_Ag_100,OH,-2.859,0.440,-3.299,historical_adsmind,desorbed,OH_ontop_to_desorbed,derived flag columns use paper mean energies
14,14_CoPt_111,OH,-2.608,-0.208,-2.400,historical_adsmind,molecular,OH_ontop,derived flag columns use paper mean energies
15,15_Cu6Ga2_100,CH2CH2OH,-3.528,-2.338,-1.190,historical_adsmind,molecular,CH2CO_hollow_to_bridge,derived flag columns use paper mean energies
16,16_Au2Hf_102,CH2CH2OH,-5.135,-2.761,-2.374,historical_adsmind,dissociated,CH2CO_hollow_to_hollow_HCP-Subsurf-Atom_DISS,derived flag columns use paper mean energies
17,17_Rh2Ti2_111,OCHCH3,-2.913,-4.561,1.648,adsorbagent_paper,dissociated,CC_O_bridge_to_hollow_FCC-No-Subsurf_DISS,derived flag columns use paper mean energies
18,18_Al3Zr_101,OCHCH3,-2.881,-4.616,1.735,adsorbagent_paper,dissociated,CC_O_bridge_to_hollow_HCP-Subsurf-Atom_DISS,derived flag columns use paper mean energies
19,19_Hf2Zn6_110,OCHCH3,-3.977,-5.922,1.945,adsorbagent_paper,dissociated,CC_O_bridge_to_hollow_FCC-No-Subsurf_DISS,derived flag columns use paper mean energies
20,20_Bi2Ti6_211,ONN(CH3)2,-8.992,-3.454,-5.538,historical_adsmind,molecular,CN(C)N_O_bridge_to_hollow_FCC-No-Subsurf,derived flag columns use paper mean energies
