case_id,one_shot_range_4backend,best_closed_loop_variant_4backend,best_closed_loop_range_4backend,range_delta_vs_one_shot_4backend
003,4.674428939819336,no_forbid,0.0,-4.674428939819336
004,1.324615478515625,no_forbid,1.246673583984375,-0.07794189453125
023,0.69158935546875,full,0.0,-0.69158935546875
005,0.68603515625,no_forbid,0.0,-0.68603515625
019,0.247467041015625,full,0.16607666015625,-0.081390380859375
015,0.2189502716064453,no_slip,0.0323734283447265,-0.1865768432617188
013,0.08953857421875,no_termination,0.6888580322265625,0.5993194580078125
012,0.086822509765625,no_forbid,0.0,-0.086822509765625
016,0.084930419921875,no_slip,0.0,-0.084930419921875
024,0.0,no_forbid,0.0,0.0
