variant,cmu_mean_range,cmu_within_001,cmu_max_range,ocd_mean_range,ocd_within_001,ocd_max_range
full,0.053,2/5,0.2033,0.3519,2/10,1.2467
no_slip,0.1533,2/5,0.5549,0.2483,4/10,1.2467
no_forbid,0.123,2/5,0.5549,0.2535,8/10,1.2841
no_termination,0.0962,2/5,0.4333,0.0985,6/10,0.6889
single_shot,0.4261,0/5,0.8798,0.6978,2/10,4.6744
