case_id,best_energy,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,-3.632817029953003,4,0,0.0,True,3,0,29160
02,-4.767816543579102,4,0,0.0,True,3,0,30050
03,-3.351109266281128,3,0,0.0,True,2,0,21312
04,-2.2639102935791016,5,0,0.0,True,4,1,32671
05,-2.953160047531128,3,0,0.0,True,2,0,22657
06,-2.0737247467041016,5,0,0.0,True,4,0,31398
07,-7.034794569015503,5,0,0.0,True,4,0,28485
08,-6.823419570922852,5,1,0.2,True,3,1,33175
09,-1.9903802871704102,3,0,0.0,True,0,0,19640
10,-2.714326858520508,3,0,0.0,True,2,0,21397
11,-2.6285572052001953,3,0,0.0,True,2,0,21141
12,-2.088075637817383,1,0,0.0,True,1,0,10381
13,-2.8261423110961914,3,0,0.0,True,2,0,21933
14,-3.45790958404541,4,0,0.0,True,3,0,27944
15,-3.0887680053710938,3,0,0.0,True,3,0,22368
16,-4.622959136962891,3,0,0.0,True,2,0,22207
17,-3.2306365966796875,4,0,0.0,True,3,0,29930
18,-2.722686767578125,4,0,0.0,True,2,0,28835
19,-3.7398681640625,5,0,0.0,True,4,2,30442
20,-9.200790405273438,5,0,0.0,True,5,3,33932
