backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,012,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,36063
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,013,no_slip,-2.700719833374023,0.0717620849609375,4,0,0.0,True,3,0,33644
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,014,no_slip,-10.13772201538086,0.0,5,0,0.0,True,5,2,37490
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,015,no_slip,-1.094757080078125,0.0,4,0,0.0,True,3,3,31165
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,016,no_slip,-9.663703918457031,0.6972808837890625,5,0,0.0,True,3,1,33605
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,017,no_slip,-2.437950134277344,0.2787017822265625,5,0,0.0,True,4,0,35682
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,018,no_slip,-8.053489685058594,-0.1987571716308593,5,0,0.0,True,5,1,37457
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,019,no_slip,-1.83050537109375,0.025482177734375,1,0,0.0,True,1,0,4780
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,020,no_slip,-7.707094192504883,0.0,5,0,0.0,True,3,0,33420
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,021,no_slip,-4.950687408447266,0.066619873046875,5,0,0.0,True,5,0,35177
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,022,no_slip,-3.6048831939697266,0.0,5,0,0.0,True,4,0,34569
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,023,no_slip,-3.439472198486328,-0.0001220703125,5,0,0.0,True,3,2,35886
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,024,no_slip,-5.207889556884766,0.0150375366210937,5,0,0.0,True,5,0,36099
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,025,no_slip,-3.493206024169922,0.056161880493164,5,0,0.0,True,3,0,32628
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,026,no_slip,-7.450054168701172,-0.0155029296875,5,0,0.0,True,4,0,34623
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,027,no_slip,-7.403881072998047,0.0,5,0,0.0,True,3,1,32578
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,028,no_slip,-4.055267333984375,-0.1787109375,5,0,0.0,True,5,1,47848
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,029,no_slip,-8.870079040527344,0.0,5,0,0.0,True,5,1,35615
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,030,no_slip,-5.087898254394531,-0.002410888671875,5,0,0.0,True,3,0,48474
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,031,no_slip,-5.4508819580078125,0.02398681640625,5,0,0.0,True,3,0,35654
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,032,no_slip,-6.6301116943359375,0.483612060546875,5,0,0.0,True,5,2,34262
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,033,no_slip,-4.444742202758789,0.101388931274414,5,0,0.0,True,5,1,36863
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,034,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,1,34371
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,035,no_slip,-6.2311859130859375,0.01080322265625,5,0,0.0,True,5,0,36000
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,036,no_slip,-10.643351554870604,-0.434814453125,5,0,0.0,True,5,0,34435
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,037,no_slip,-5.747974395751953,0.0,2,0,0.0,True,2,0,10294
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,038,no_slip,-3.3967971801757812,-0.077606201171875,5,0,0.0,True,5,1,35350
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,039,no_slip,-5.362604141235352,0.0,5,0,0.0,True,4,1,33967
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,040,no_slip,-9.670894622802734,-0.314453125,5,0,0.0,True,5,1,37720
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,041,no_slip,-4.959049940109253,-0.215850830078125,5,0,0.0,True,3,0,31564
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,042,no_slip,-3.283937454223633,0.0,5,2,0.4,True,3,0,34249
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,043,no_slip,-7.790651321411133,0.02117919921875,5,0,0.0,True,5,1,36805
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,044,no_slip,-2.7364501953125,-0.000274658203125,5,1,0.2,True,4,2,36896
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,045,no_slip,-1.570451736450195,-0.2189807891845703,5,1,0.2,True,3,2,36576
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,046,no_slip,-4.248908996582031,0.0,5,0,0.0,True,2,0,34583
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,047,no_slip,-2.149190902709961,-0.023681640625,5,0,0.0,True,2,0,33610
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,048,no_slip,-11.658258438110352,-0.0006103515625,4,0,0.0,True,4,0,34227
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,049,no_slip,-8.249351501464844,0.378509521484375,5,0,0.0,True,5,0,52368
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,050,no_slip,-3.5041396617889404,0.0,5,0,0.0,True,4,0,33122
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,051,no_slip,-3.134526014328003,0.0,5,0,0.0,True,4,0,33199
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,052,no_slip,-0.1671791076660156,0.0,5,0,0.0,True,0,1,33187
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,053,no_slip,-3.145526885986328,,4,2,0.5,True,2,1,64065
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,054,no_slip,-11.695274353027344,0.0,5,0,0.0,True,3,0,45246
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,055,no_slip,-2.739093780517578,0.0,5,0,0.0,True,4,2,35177
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,056,no_slip,-12.998695373535156,0.0,5,0,0.0,True,3,0,33463
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,057,no_slip,-10.486995697021484,0.0,5,0,0.0,True,4,1,45152
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,058,no_slip,-2.9037342071533203,0.0,2,0,0.0,True,2,0,24166
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,059,no_slip,-2.848228454589844,0.001861572265625,1,0,0.0,True,0,0,9447
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,060,no_slip,-8.070688247680664,0.2513446807861328,3,0,0.0,True,1,0,19442
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,061,no_slip,-10.710853576660156,0.0,5,0,0.0,True,1,0,33858
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,062,no_slip,-7.339113235473633,0.0001220703125,5,0,0.0,True,5,3,37797
