case_id,ocd_id,surface_formula,adsorbate,backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,variant,best_energy_eV,success,run_path,iterations,wasted_iterations,waste_ratio,slip_count,dissociation_count,tokens_used
004,46,Pt16V48,[N]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-7.176612854003906,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/004,5,0,0.0,4,0,28004
004,46,Pt16V48,[N]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-7.159950256347656,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/004,5,0,0.0,5,0,26776
004,46,Pt16V48,[N]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-6.123451232910156,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/004,1,0,0.0,1,0,4544
005,70,As48Hf48Ni48,[NH2],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-10.075138092041016,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/005,5,0,0.0,3,0,27909
005,70,As48Hf48Ni48,[NH2],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-10.075138092041016,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/005,5,0,0.0,2,0,26540
005,70,As48Hf48Ni48,[NH2],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-10.075138092041016,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/005,5,0,0.0,3,0,28194
005,70,As48Hf48Ni48,[NH2],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-10.075260162353516,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/005,5,0,0.0,2,0,26634
005,70,As48Hf48Ni48,[NH2],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-9.262384414672852,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/005,1,0,0.0,0,0,4661
006,76,In10N10Ti30,N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-3.715871810913086,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/006,5,0,0.0,3,1,27419
006,76,In10N10Ti30,N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.715871810913086,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/006,5,0,0.0,2,0,26347
006,76,In10N10Ti30,N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.715871810913086,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/006,4,0,0.0,2,0,27771
006,76,In10N10Ti30,N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.715871810913086,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/006,5,0,0.0,3,1,26388
006,76,In10N10Ti30,N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.376506805419922,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/006,1,0,0.0,0,0,4480
007,84,Mo18S72W18,O=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-19.71690368652344,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/007,5,0,0.0,3,2,28725
007,84,Mo18S72W18,O=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-19.925071716308594,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/007,5,0,0.0,2,2,26555
007,84,Mo18S72W18,O=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-19.78919982910156,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/007,5,0,0.0,2,0,28687
007,84,Mo18S72W18,O=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-19.71739196777344,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/007,5,0,0.0,3,2,26590
007,84,Mo18S72W18,O=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-19.717514038085938,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/007,1,0,0.0,0,0,4646
008,87,Ga12Pd36,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-7.4804487228393555,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/008,3,0,0.0,2,0,22117
008,87,Ga12Pd36,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-8.466697692871094,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/008,5,0,0.0,4,0,27477
008,87,Ga12Pd36,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-7.477747917175293,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/008,3,0,0.0,2,0,21577
008,87,Ga12Pd36,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-8.466484069824219,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/008,5,0,0.0,4,0,27822
008,87,Ga12Pd36,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-8.466667175292969,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/008,1,0,0.0,1,0,4611
009,88,Ge24Zr40,[CH]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-4.292024612426758,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/009,3,0,0.0,2,1,23916
009,88,Ge24Zr40,[CH]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-4.292024612426758,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/009,5,0,0.0,4,1,27624
009,88,Ge24Zr40,[CH]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-4.291963577270508,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/009,5,0,0.0,4,1,31592
009,88,Ge24Zr40,[CH]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-4.276355743408203,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/009,5,0,0.0,4,2,30718
009,88,Ge24Zr40,[CH]=O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-4.292024612426758,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/009,1,0,0.0,1,0,5106
010,94,Ag18Sr27,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-3.3845252990722656,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/010,5,0,0.0,5,2,35336
010,94,Ag18Sr27,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.3456077575683594,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/010,5,0,0.0,5,2,27296
010,94,Ag18Sr27,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.3845176696777344,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/010,5,0,0.0,5,2,31752
010,94,Ag18Sr27,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.345592498779297,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/010,5,0,0.0,5,2,29735
010,94,Ag18Sr27,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.345600128173828,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/010,1,0,0.0,1,0,5040
011,105,Se48Sn48,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-4.418554306030273,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/011,2,0,0.0,0,0,14986
011,105,Se48Sn48,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-4.36711311340332,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/011,4,0,0.0,2,1,24729
011,105,Se48Sn48,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-4.36711311340332,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/011,5,0,0.0,2,0,27343
