dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD-GMAE rep50,016,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.293518066,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,017,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-8.466377258300781,-7.173670768737793,1.292706490,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,018,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.113170623779297,-2.125509262084961,-0.012338638,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,019,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.493175506591797,-3.479421615600586,0.013753891,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,020,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.7165756225585938,-2.7164840698242188,0.000091553,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,021,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-4.241493225097656,-3.8590927124023438,0.382400513,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,022,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-7.176612854003906,-6.136024475097656,1.040588379,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,023,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,024,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.288808822631836,-3.1459884643554688,0.142820358,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,026,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-19.789199829101562,-19.717330932617188,0.071868896,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
