dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD62,009,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.292024612426758,-4.291963577270508,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,009,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.292024612426758,-4.276355743408203,0.015668869,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,010,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.3845252990722656,-3.3456077575683594,0.038917542,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,010,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.3845252990722656,-3.3845176696777344,0.000007629,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,010,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.3845252990722656,-3.345592498779297,0.038932800,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,011,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.418554306030273,-4.36711311340332,0.051441193,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,011,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.418554306030273,-4.36711311340332,0.051441193,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,011,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.418554306030273,-4.418554306030273,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,012,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-14.549540519714355,-14.549540519714355,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,012,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-14.549540519714355,-14.549540519714355,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,012,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-14.549540519714355,-14.549540519714355,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,013,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.768667221069336,-2.693397521972656,0.075269699,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,013,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.768667221069336,-2.746053695678711,0.022613525,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,013,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.768667221069336,-2.6935501098632812,0.075117111,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,014,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-11.384456634521484,-11.384395599365234,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,014,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-11.384456634521484,-10.396541595458984,0.987915039,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,014,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-11.384456634521484,-11.384395599365234,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,015,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-1.094757080078125,-1.094757080078125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,015,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-1.094757080078125,-1.005523681640625,0.089233398,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,015,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-1.094757080078125,-1.094757080078125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,016,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-10.361473083496094,-10.24188995361328,0.119583130,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,016,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-10.361473083496094,-10.363121032714844,-0.001647949,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,016,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-10.361473083496094,-10.361473083496094,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,017,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.7164840698242188,-2.7164840698242188,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,017,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.7164840698242188,-2.7164840698242188,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,017,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.7164840698242188,-2.7175064086914062,-0.001022339,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,018,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.854701995849609,-7.854701995849609,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,018,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.854701995849609,-7.563686370849609,0.291015625,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,018,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.854701995849609,-7.724544525146484,0.130157471,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,019,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.4862289428710938,-2.5004806518554688,-0.014251709,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,019,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.4862289428710938,-2.5005111694335938,-0.014282227,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,019,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.4862289428710938,-2.4863510131835938,-0.000122070,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,020,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.707094192504883,-7.707094192504883,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,020,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.707094192504883,-7.707094192504883,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,020,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.707094192504883,-7.707094192504883,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,021,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.700778961181641,-5.017307281494141,-0.316528320,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,021,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.700778961181641,-4.937219619750977,-0.236440659,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,021,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.700778961181641,-4.938257217407227,-0.237478256,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,022,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.6048831939697266,-3.5104408264160156,0.094442368,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,022,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.6048831939697266,-3.5104408264160156,0.094442368,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,022,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.6048831939697266,-3.6048831939697266,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,023,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.607467651367187,-3.607513427734375,-0.000045776,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,023,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.607467651367187,-3.6072845458984375,0.000183105,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
