dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,07,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.030705213546753,-7.030705213546753,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-7.030705213546753,-6.511173963546753,0.519531250,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.190608978271484,-7.190670013427734,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.190608978271484,-7.190670013427734,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.190608978271484,-7.190670013427734,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.7095260620117188,-2.7095260620117188,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.7095260620117188,-2.7095260620117188,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.7095260620117188,-2.7176666259765625,-0.008140564,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.7095260620117188,-2.7176666259765625,-0.008140564,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.0813217163085938,-2.0813217163085938,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.0813217163085938,-2.3513641357421875,-0.270042419,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.0813217163085938,-2.3513641357421875,-0.270042419,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.0813217163085938,-2.0813217163085938,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.8251419067382812,-2.8251419067382812,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.8251419067382812,-2.8251419067382812,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.8251419067382812,-2.8251419067382812,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.8251419067382812,-2.8078689575195312,0.017272949,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.5911407470703125,-3.4312286376953125,0.159912109,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.5911407470703125,-3.5911407470703125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.5911407470703125,-3.5911407470703125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-3.5911407470703125,-3.4312286376953125,0.159912109,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.257709503173828,-2.9635086059570312,0.294200897,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.257709503173828,-3.3851089477539062,-0.127399445,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.257709503173828,-3.257709503173828,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-3.257709503173828,-2.9636917114257812,0.294017792,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.272052764892578,-4.662910461425781,-0.390857697,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.272052764892578,-4.662910461425781,-0.390857697,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.272052764892578,-4.662910461425781,-0.390857697,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-4.272052764892578,-4.662910461425781,-0.390857697,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.241016387939453,-3.240985870361328,0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.241016387939453,-3.240985870361328,0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.241016387939453,-3.240985870361328,0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-3.241016387939453,-2.692474365234375,0.548542023,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.7240142822265625,-3.2147865295410156,-0.490772247,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.7240142822265625,-3.2147865295410156,-0.490772247,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.7240142822265625,-3.2147865295410156,-0.490772247,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.7240142822265625,-2.5189666748046875,0.205047607,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.0125274658203125,-4.099582672119141,-0.087055206,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.0125274658203125,-4.148807525634766,-0.136280060,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.0125274658203125,-4.0125274658203125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-4.0125274658203125,-4.0125274658203125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-11.652278900146484,-11.652828216552734,-0.000549316,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-11.652278900146484,-11.649532318115234,0.002746582,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-11.652278900146484,-11.652278900146484,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-11.652278900146484,-11.652278900146484,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-3.630131483078003,-3.630131483078003,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,-3.630131483078003,-3.623600721359253,0.006530762,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_termination,w/o Term,-3.630131483078003,-3.630131483078003,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,-3.630131483078003,-3.557255506515503,0.072875977,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-4.769039154052734,-4.769039154052734,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,-4.769039154052734,-4.769039154052734,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_termination,w/o Term,-4.769039154052734,-4.769039154052734,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,-4.769039154052734,-4.342861175537109,0.426177979,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_termination,w/o Term,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-2.2848472595214844,-2.2833213806152344,0.001525879,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,-2.2848472595214844,-2.2851524353027344,-0.000305176,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_termination,w/o Term,-2.2848472595214844,-2.2427330017089844,0.042114258,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,-2.2848472595214844,-1.8452110290527344,0.439636230,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-2.961643934249878,-2.961628675460815,0.000015259,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_termination,w/o Term,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-1.8745841979980469,-2.164623260498047,-0.290039062,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,-1.8745841979980469,-1.8745841979980469,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_termination,w/o Term,-1.8745841979980469,-2.1646080017089844,-0.290023804,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-7.051090955734253,-7.051090955734253,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,-7.051090955734253,-7.051090955734253,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_termination,w/o Term,-7.051090955734253,-7.051090955734253,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,-7.051090955734253,-6.883122205734253,0.167968750,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_slip,w/o Slip,-6.869441986083984,-7.190608978271484,-0.321166992,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
