dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,13,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.8251419067382812,-2.376436233520508,0.448705673,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.6166324615478516,-3.6166324615478516,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.257709503173828,-2.888652801513672,0.369056702,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-4.662910461425781,-4.537578582763672,0.125331879,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.222217559814453,-2.7732162475585938,0.449001312,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.7787933349609375,-2.4180145263671875,0.360778809,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.8413848876953125,-3.1327438354492188,0.708641052,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-11.652278900146484,-10.604454040527344,1.047824860,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,gpt,GPT-5.4,single_shot,1-Shot,-3.627323865890503,-3.557255506515503,0.070068359,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,gpt,GPT-5.4,single_shot,1-Shot,-4.769039154052734,-4.342861175537109,0.426177979,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
