dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD24,008,GPT-5.4,GPT-5.4,single_shot,1-Shot,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,008,Grok-4,Grok-4,single_shot,1-Shot,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-7.707094192504883,-7.707094192504883,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,GPT-5.4,GPT-5.4,single_shot,1-Shot,-7.707094192504883,-7.707094192504883,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,Grok-4,Grok-4,single_shot,1-Shot,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,012,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-2.746053695678711,-2.2730464935302734,0.473007202,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,012,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-2.746053695678711,-2.3598690032958984,0.386184692,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,012,GPT-5.4,GPT-5.4,single_shot,1-Shot,-2.768667221069336,-2.2730464935302734,0.495620728,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,012,Grok-4,Grok-4,single_shot,1-Shot,-2.772481918334961,-2.359823226928711,0.412658691,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,013,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-9.319587707519531,-9.077415466308594,0.242172241,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,013,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-10.361473083496094,-9.077415466308594,1.284057617,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,013,GPT-5.4,GPT-5.4,single_shot,1-Shot,-10.361473083496094,-8.988121032714844,1.373352051,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,013,Grok-4,Grok-4,single_shot,1-Shot,-10.361473083496094,-9.077659606933594,1.283813477,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
