case_id,case_name,status,traj_count,wall_clock_sec,error
001,001_Hf16Zn48_C_O_C,success,2,1397.7466229759157,
002,002_Hf18Sc18Si36_NO,success,1,821.9922693520784,
003,003_Cd24Pd24_NO,success,3,1122.2432054691017,
004,004_Pt16V48__N_O,no_selected_configurations,0,35.866701792925596,no_selected_configurations
005,005_As48Hf48Ni48__NH2,success,1,443.42091042920947,
006,006_In10N10Ti30_N,success,1,319.2887265905738,
007,007_Mo18S72W18_O_N,success,1,863.0538408271968,
008,008_Ga12Pd36__NH,success,2,572.7179138585925,
009,009_Ge24Zr40__CH_O,success,1,549.1753229126334,
010,010_Ag18Sr27__N_N,success,1,227.26723123714328,
011,011_Se48Sn48_CO,success,1,876.746782142669,
012,012_Ru60Ta20__NH,no_selected_configurations,0,34.56502415984869,no_selected_configurations
013,013_Ag24In12Sc12_CO,success,1,546.0679613724351,
014,014_Ge36V60__N_N,success,2,960.8243233449757,
015,015_Ge16Mn48_C_O_C,success,2,775.1267066970468,
016,016_Cu32Se64W16_C_C_O,success,2,1427.6782460734248,
017,017_Pb24Y8__N_O,success,2,520.3926465809345,
018,018_Si8Ta16V24__N_N,success,1,313.19558499380946,
019,019_Ag96Ga32__CH2_O,success,1,711.5201904736459,
020,020_Cr36N48__CH_O,success,1,486.0976067818701,
021,021_Al20Au20Y20__NH2,no_selected_configurations,0,113.7370573207736,no_selected_configurations
022,022_Fe20Mn20P20__NH2,success,1,452.89961943402886,
023,023_Ag60Ga20_C_O_C,success,1,645.6242823973298,
024,024_Cd20Y20_C_O,no_selected_configurations,0,30.625250168144703,no_selected_configurations
025,025_Ga36Mn36_N,success,2,1503.7896507643163,
026,026_As40Ti40_C_O,no_selected_configurations,0,36.30720313638449,no_selected_configurations
027,027_Se72Ta36_N,no_selected_configurations,0,42.02370737120509,no_selected_configurations
028,028_Ca24Pb24Pd24__CH2_O,success,1,256.26478315889835,
029,029_In18N18Ti36_O_N,success,1,451.4215613901615,
030,030_Cd16Pd48_C_CH2_O,success,2,709.7248448096216,
031,031_Ca16Pb16Pd16_OH,success,1,284.1309172771871,
032,032_Ni6Sc36Te12_OH,success,1,581.3571408614516,
033,033_Ca24Zn48__NH2,success,1,374.5880308151245,
034,034_Hf40Sb24Zn8__CH2_C,success,1,358.61388839408755,
035,035_Pd24Zr24_OH,success,2,518.950954657048,
036,036_Co32Y48__NH,no_selected_configurations,0,30.6449325196445,no_selected_configurations
037,037_Pd144Si32_C_O,success,2,1709.4383681416512,
038,038_Bi16Pd48_C_C_O,success,4,1434.774057045579,
039,039_Fe16Si24Zr24__CH3,success,1,113.23485398292542,
040,040_Sb20Ta60__N_N,success,2,1139.7116768434644,
041,041_Cr18Pt18_H,success,1,273.75562738627195,
042,042_Na8Pb24__NH2,success,1,94.424619756639,
043,043_Co32Y96__CH_O,success,1,649.1793334037066,
044,044_Al36Zr12_C_O_C,success,3,926.6676452644169,
045,045_Ga16Mn32V16__CH2_O,no_selected_configurations,0,36.97652519121766,no_selected_configurations
046,046_Au36Ga36__N_O,success,3,839.702786449343,
047,047_Au24Si24Sr12_N,success,1,447.7234880439937,
048,048_Re27Ti27__NH2,success,1,1099.1954163871706,
049,049_As24V36__CH2_C,success,1,401.9054265059531,
050,050_Ga24Y24_H,success,1,199.1362303942442,
051,051_Na12Pb36_H,success,1,181.1673786751926,
052,052_Co12Sb12Ti12_CO,success,1,246.8633959144354,
053,053_K20_C_CH2_O,success,3,1837.0038310065866,
054,054_Ni38Se40__CH2_C,success,1,993.7083252817392,
055,055_Co48Hf16__CH_O,no_selected_configurations,0,41.35815495997667,no_selected_configurations
056,056_Pd32Sb64_C_CH2_O,no_selected_configurations,0,40.22340400889516,no_selected_configurations
057,057_Os32S64__CH3,success,2,575.73991939798,
058,058_Tl24Y8__CH3,success,1,276.8495203591883,
059,059_Cu48Ga16_C_CH2_O,success,4,2647.2662110961974,
060,060_S36Sn24__CH3,success,2,1048.9565113559365,
061,061_Mo36N36__N_O,success,2,820.2367478646338,
062,062_Cr32Ir96__CH_O,success,1,672.0217582210898,
