backend,backend_label,variant,variant_label,paired_successes,mean_delta_E_variant_minus_full_eV,median_delta_E_variant_minus_full_eV,full_lower_by_gt_0p05eV,variant_lower_by_gt_0p05eV,within_pm_0p05eV,tie_within_0p01eV
claude,Claude Sonnet 4.6,single_shot,1-Shot,45,0.35721,0.035393,22,0,23,19
gemini,Gemini 2.5 Pro,single_shot,1-Shot,43,0.413792,0.112976,25,3,15,11
gpt,GPT-5.4,single_shot,1-Shot,44,0.263822,0.031708,21,4,19,17
grok,Grok-4,single_shot,1-Shot,46,0.421544,0.165863,29,0,17,14
