variant,variant_label,attempts,successful_runs,natural_failures,external_failures,success_rate
full,Full,80,80,0,0,1.0
no_slip,w/o Slip,80,80,0,0,1.0
no_forbid,w/o Forbid,80,80,0,0,1.0
no_termination,w/o Term,80,80,0,0,1.0
single_shot,1-Shot,80,73,7,0,0.9125
