dataset,backend,backend_label,case_id,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,outcome_0p01eV,full_advantage_gt_0p05eV
OCD-GMAE rep50,claude,Claude Sonnet 4.6,039,single_shot,1-Shot,-7.434549331665039,-7.24180793762207,0.19274139404296875,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,040,single_shot,1-Shot,-5.74797248840332,-5.74797248840332,0.0,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,041,single_shot,1-Shot,-4.055267333984375,-2.72772216796875,1.327545166015625,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,042,single_shot,1-Shot,-2.2634506225585938,-1.8311767578125,0.43227386474609375,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,044,single_shot,1-Shot,-5.087837219238281,-5.087867736816406,-3.0517578125e-05,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,045,single_shot,1-Shot,-2.8482284545898438,-2.8482284545898438,0.0,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,046,single_shot,1-Shot,-8.329967498779297,-7.671304702758789,0.6586627960205078,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,047,single_shot,1-Shot,-10.486995697021484,-10.415063858032227,0.07193183898925781,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,048,single_shot,1-Shot,-2.9037342071533203,-2.8683414459228516,0.03539276123046875,variant_higher_less_stable,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,049,single_shot,1-Shot,-8.627952575683594,-7.621452331542969,1.006500244140625,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,050,single_shot,1-Shot,-11.695304870605469,-11.695274353027344,3.0517578125e-05,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,001,single_shot,1-Shot,-4.980229139328003,-4.743199110031128,0.237030029296875,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,002,single_shot,1-Shot,-3.3380630016326904,-3.5041396617889404,-0.16607666015625,variant_lower_more_stable,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,003,single_shot,1-Shot,-3.134342908859253,-3.134526014328003,-0.00018310546875,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,005,single_shot,1-Shot,-6.176261901855469,-6.2310638427734375,-0.05480194091796875,variant_lower_more_stable,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,006,single_shot,1-Shot,-5.4511260986328125,-3.9895553588867188,1.4615707397460938,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,007,single_shot,1-Shot,-11.654657363891602,-6.983524322509766,4.671133041381836,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,009,single_shot,1-Shot,-4.950687408447266,-3.9963321685791016,0.9543552398681641,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,010,single_shot,1-Shot,-10.075260162353516,-9.262384414672852,0.8128757476806641,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,011,single_shot,1-Shot,-3.283937454223633,-3.282930374145508,0.001007080078125,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,012,single_shot,1-Shot,-9.670589447021484,-9.34560775756836,0.324981689453125,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,013,single_shot,1-Shot,-3.3845176696777344,-2.735858917236328,0.6486587524414062,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,014,single_shot,1-Shot,-7.717494964599609,-6.870906829833984,0.846588134765625,variant_higher_less_stable,True
