variant,variant_label,paired_successes,mean_delta_E_variant_minus_full_eV,median_delta_E_variant_minus_full_eV,full_lower_by_gt_0p05eV,variant_lower_by_gt_0p05eV,within_pm_0p05eV,tie_within_0p01eV
no_slip,w/o Slip,80,-0.008477,0.0,9,11,60,56
no_forbid,w/o Forbid,80,-0.007232,0.0,6,10,64,56
no_termination,w/o Term,80,-0.035681,0.0,5,10,65,58
single_shot,1-Shot,73,0.216976,0.125332,41,2,30,23
