backend,backend_label,variant,variant_label,attempts,successful_runs,natural_failures,external_failures,success_rate,mean_best_energy_success_only
claude,Claude Sonnet 4.6,full,Full,50,50,0,0,1.0,-6.028035
claude,Claude Sonnet 4.6,single_shot,1-Shot,50,45,5,0,0.9,-5.751954
gemini,Gemini 2.5 Pro,full,Full,50,49,1,0,0.98,-6.111025
gemini,Gemini 2.5 Pro,single_shot,1-Shot,50,43,7,0,0.86,-5.916217
gpt,GPT-5.4,full,Full,50,49,1,0,0.98,-6.075
gpt,GPT-5.4,single_shot,1-Shot,50,44,6,0,0.88,-5.785959
grok,Grok-4,full,Full,50,49,1,0,0.98,-6.100635
grok,Grok-4,single_shot,1-Shot,50,46,4,0,0.92,-5.761503
