case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used,source,backend
007,full,-10.732337951660156,0.0,5,0,0.0,True,1,0,35073,extra14,claude
007,no_slip,-10.713722229003906,0.01861572265625,4,0,0.0,True,1,0,31100,extra14,claude
007,no_forbid,-10.710975646972656,0.0213623046875,5,0,0.0,True,1,0,31642,extra14,claude
007,no_termination,-10.710792541503906,0.02154541015625,5,0,0.0,True,1,0,32050,extra14,claude
007,single_shot,-10.710975646972656,0.0213623046875,1,0,0.0,True,0,0,5417,extra14,claude
008,full,-4.346961975097656,0.0,5,0,0.0,True,4,3,42183,extra14,claude
008,no_slip,-4.346961975097656,0.0,5,0,0.0,True,4,4,35785,extra14,claude
008,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,40239,extra14,claude
008,no_termination,-4.346961975097656,0.0,5,0,0.0,True,4,4,39311,extra14,claude
008,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,5884,extra14,claude
009,full,-8.870079040527344,0.0,5,0,0.0,True,5,1,41640,extra14,claude
009,no_slip,-8.408592224121094,0.46148681640625,5,1,0.2,True,4,1,34404,extra14,claude
009,no_forbid,-8.992385864257812,-0.12230682373046875,5,0,0.0,True,5,1,39746,extra14,claude
009,no_termination,-8.408592224121094,0.46148681640625,5,0,0.0,True,5,2,41404,extra14,claude
009,single_shot,,,1,0,0.0,False,1,1,5832,extra14,claude
010,full,-7.707094192504883,0.0,4,0,0.0,True,4,0,39254,extra14,claude
010,no_slip,-7.707033157348633,6.103515625e-05,3,0,0.0,True,1,0,26457,extra14,claude
010,no_forbid,-7.707094192504883,0.0,4,0,0.0,True,3,0,39047,extra14,claude
010,no_termination,-7.707094192504883,0.0,5,0,0.0,True,3,0,38214,extra14,claude
010,single_shot,-7.707033157348633,6.103515625e-05,1,0,0.0,True,1,0,5532,extra14,claude
011,full,-4.284576416015625,0.0,5,0,0.0,True,3,1,40589,extra14,claude
011,no_slip,-4.284423828125,0.000152587890625,5,0,0.0,True,3,1,35476,extra14,claude
011,no_forbid,-4.284393310546875,0.00018310546875,5,0,0.0,True,3,1,38472,extra14,claude
011,no_termination,-4.284210205078125,0.0003662109375,5,0,0.0,True,3,1,37801,extra14,claude
011,single_shot,,,1,0,0.0,False,0,1,5951,extra14,claude
012,full,-2.746053695678711,0.0,3,0,0.0,True,2,0,27818,locked10,claude
012,no_slip,-2.6935501098632812,0.05250358581542969,5,0,0.0,True,4,2,33791,locked10,claude
012,no_forbid,-2.746053695678711,0.0,5,0,0.0,True,4,1,34877,locked10,claude
012,no_termination,-2.746053695678711,0.0,5,0,0.0,True,4,1,36259,locked10,claude
012,single_shot,-2.2730464935302734,0.4730072021484375,1,0,0.0,True,0,0,6259,locked10,claude
013,full,-9.319587707519531,0.0,5,0,0.0,True,3,2,36190,locked10,claude
013,no_slip,-9.669624328613281,-0.35003662109375,5,0,0.0,True,3,1,34078,locked10,claude
013,no_forbid,-9.077415466308594,0.2421722412109375,5,0,0.0,True,4,1,35297,locked10,claude
013,no_termination,-9.672615051269531,-0.35302734375,5,0,0.0,True,3,1,34398,locked10,claude
013,single_shot,-9.077415466308594,0.2421722412109375,1,0,0.0,True,0,0,6331,locked10,claude
014,full,-5.207887649536133,0.0,5,0,0.0,True,5,0,37773,extra14,claude
014,no_slip,-5.222894668579102,-0.01500701904296875,5,0,0.0,True,4,0,33922,extra14,claude
014,no_forbid,-5.207887649536133,0.0,4,0,0.0,True,4,0,36275,extra14,claude
014,no_termination,-5.222879409790039,-0.01499176025390625,5,0,0.0,True,4,0,36342,extra14,claude
014,single_shot,-5.207887649536133,0.0,1,0,0.0,True,1,0,5844,extra14,claude
015,full,-1.351470947265625,0.0,5,1,0.2,True,4,3,42005,locked10,claude
015,no_slip,-1.5704517364501953,-0.2189807891845703,5,0,0.0,True,2,1,36217,locked10,claude
015,no_forbid,-1.351470947265625,0.0,5,1,0.2,True,4,3,40605,locked10,claude
