case_id,surface_family,available_backends,range_eV,min_eV,max_eV
001,intermetallic,3,0.237060546875,-4.980229139328003,-4.743168592453003
002,intermetallic,3,0.16607666015625,-3.5041396617889404,-3.3380630016326904
003,intermetallic,3,0.00018310546875,-3.134526014328003,-3.134342908859253
004,intermetallic,3,0.0,-7.2280120849609375,-7.2280120849609375
005,intermetallic,3,0.06133270263671875,-6.2375946044921875,-6.176261901855469
006,intermetallic,3,0.02374267578125,-5.4748687744140625,-5.4511260986328125
007,intermetallic,3,0.00347900390625,-11.658075332641602,-11.654596328735352
008,intermetallic,3,1.52587890625e-05,-4.546146392822266,-4.546131134033203
009,intermetallic,3,0.3165283203125,-5.017307281494141,-4.700778961181641
010,intermetallic,3,0.0001220703125,-10.075260162353516,-10.075138092041016
011,intermetallic,3,7.62939453125e-06,-3.283937454223633,-3.2839298248291016
012,intermetallic,3,0.00201416015625,-9.670589447021484,-9.668575286865234
013,intermetallic,3,0.038909912109375,-3.3845252990722656,-3.3456153869628906
014,intermetallic,3,0.283721923828125,-7.854701995849609,-7.570980072021484
015,intermetallic,3,0.03643798828125,-10.643351554870605,-10.606913566589355
016,intermetallic,3,0.0,-14.549540519714355,-14.549540519714355
017,intermetallic,3,0.9862031936645508,-8.466651916503906,-7.4804487228393555
018,intermetallic,3,0.0,-2.113170623779297,-2.113170623779297
019,intermetallic,3,3.0517578125e-05,-3.493175506591797,-3.493144989013672
020,intermetallic,3,0.0001068115234375,-2.7165756225585938,-2.7164688110351562
021,intermetallic,3,0.1759033203125,-4.417228698730469,-4.241325378417969
022,intermetallic,3,0.01666259765625,-7.176612854003906,-7.159950256347656
023,intermetallic,3,0.0,-4.346961975097656,-4.346961975097656
024,intermetallic,3,1.52587890625e-05,-3.288808822631836,-3.2887935638427734
025,intermetallic,3,0.086334228515625,-7.9674224853515625,-7.8810882568359375
026,intermetallic,3,0.20816802978515625,-19.925071716308594,-19.716903686523438
027,compound,3,0.0,-7.707094192504883,-7.707094192504883
028,intermetallic,3,0.5431041717529297,-7.811891555786133,-7.268787384033203
029,intermetallic,3,0.017625808715820312,-2.739093780517578,-2.721467971801758
030,compound,3,0.0,-4.292024612426758,-4.292024612426758
031,intermetallic,3,0.0008544921875,-7.339723587036133,-7.338869094848633
032,compound,3,0.0,-1.094757080078125,-1.094757080078125
033,intermetallic,3,0.20904541015625,-3.2235107421875,-3.01446533203125
034,intermetallic,3,0.16810226440429688,-3.6074676513671875,-3.4393653869628906
035,compound,3,3.0517578125e-05,-4.418584823608398,-4.418554306030273
036,intermetallic,3,0.0,-0.16718101501464844,-0.16718101501464844
037,intermetallic,3,1.1251373291015625,-10.361473083496094,-9.236335754394531
038,intermetallic,3,0.06597900390625,-3.3852310180664062,-3.3192520141601562
039,compound,3,0.0155029296875,-7.450052261352539,-7.434549331665039
040,compound,3,0.29267120361328125,-5.74797248840332,-5.455301284790039
041,intermetallic,3,0.099395751953125,-4.055267333984375,-3.95587158203125
042,intermetallic,3,0.2734260559082031,-2.4862289428710938,-2.2128028869628906
043,monometallic,1,,-3.145526885986328,-3.145526885986328
044,intermetallic,3,0.01947021484375,-5.087837219238281,-5.068367004394531
045,intermetallic,3,0.0,-2.8482284545898438,-2.8482284545898438
046,compound,3,0.0079345703125,-8.329967498779297,-8.322032928466797
047,compound,3,0.0,-10.486995697021484,-10.486995697021484
048,intermetallic,3,7.62939453125e-06,-2.9037342071533203,-2.903726577758789
049,compound,3,0.378753662109375,-8.628105163574219,-8.249351501464844
050,compound,3,3.0517578125e-05,-11.695304870605469,-11.695274353027344
