case_id,surface_family,available_full_backends,available_one_shot_backends,best_full_energy,best_one_shot_energy,delta_one_shot_minus_full_best_eV
001,intermetallic,3,3,-4.980229139328003,-4.743199110031128,0.237030029296875
002,intermetallic,3,3,-3.5041396617889404,-3.5041396617889404,0.0
003,intermetallic,3,3,-3.134526014328003,-3.134526014328003,0.0
004,intermetallic,3,1,-7.2280120849609375,-7.2280120849609375,0.0
005,intermetallic,3,3,-6.2375946044921875,-6.2310638427734375,0.00653076171875
006,intermetallic,3,3,-5.4748687744140625,-3.9895553588867188,1.4853134155273438
007,intermetallic,3,3,-11.658075332641602,-11.659784317016602,-0.001708984375
008,intermetallic,3,1,-4.546146392822266,-4.444726943969727,0.10141944885253906
009,intermetallic,3,3,-5.017307281494141,-4.527713775634766,0.489593505859375
010,intermetallic,3,3,-10.075260162353516,-9.262384414672852,0.8128757476806641
011,intermetallic,3,3,-3.283937454223633,-3.282930374145508,0.001007080078125
012,intermetallic,3,3,-9.670589447021484,-9.35494613647461,0.315643310546875
013,intermetallic,3,2,-3.3845252990722656,-3.345600128173828,0.0389251708984375
014,intermetallic,3,1,-7.854701995849609,-6.870906829833984,0.983795166015625
015,intermetallic,3,3,-10.643351554870605,-10.208537101745605,0.434814453125
016,intermetallic,3,3,-14.549540519714355,-14.256022453308105,0.29351806640625
017,intermetallic,3,3,-8.466651916503906,-8.466667175292969,-1.52587890625e-05
018,intermetallic,3,3,-2.113170623779297,-2.125509262084961,-0.012338638305664062
019,intermetallic,3,3,-3.493175506591797,-3.549367904663086,-0.05619239807128906
020,intermetallic,3,3,-2.7165756225585938,-2.7164840698242188,9.1552734375e-05
021,intermetallic,3,3,-4.417228698730469,-4.241508483886719,0.17572021484375
022,intermetallic,3,3,-7.176612854003906,-6.488563537597656,0.68804931640625
023,intermetallic,3,3,-4.346961975097656,-4.346961975097656,0.0
024,intermetallic,3,3,-3.288808822631836,-3.1459884643554688,0.1428203582763672
025,intermetallic,3,0,-7.9674224853515625,,
026,intermetallic,3,3,-19.925071716308594,-19.717514038085938,0.20755767822265625
027,compound,3,3,-7.707094192504883,-7.707094192504883,0.0
028,intermetallic,3,3,-7.811891555786133,-7.790712356567383,0.02117919921875
029,intermetallic,3,3,-2.739093780517578,-2.729450225830078,0.0096435546875
030,compound,3,3,-4.292024612426758,-4.578388214111328,-0.2863636016845703
031,intermetallic,3,2,-7.339723587036133,-7.339723587036133,0.0
032,compound,3,2,-1.094757080078125,-1.094757080078125,0.0
033,intermetallic,3,3,-3.2235107421875,-2.7376708984375,0.48583984375
034,intermetallic,3,3,-3.6074676513671875,-3.4162750244140625,0.191192626953125
035,compound,3,3,-4.418584823608398,-4.418554306030273,3.0517578125e-05
036,intermetallic,3,2,-0.16718101501464844,-0.16718101501464844,0.0
037,intermetallic,3,3,-10.361473083496094,-9.077842712402344,1.28363037109375
038,intermetallic,3,2,-3.3852310180664062,-3.2947616577148438,0.0904693603515625
039,compound,3,3,-7.450052261352539,-7.24180793762207,0.20824432373046875
040,compound,3,3,-5.74797248840332,-5.74797248840332,0.0
041,intermetallic,3,2,-4.055267333984375,-2.727874755859375,1.327392578125
042,intermetallic,3,3,-2.4862289428710938,-1.85589599609375,0.6303329467773438
043,monometallic,1,0,-3.145526885986328,,
044,intermetallic,3,3,-5.087837219238281,-5.087867736816406,-3.0517578125e-05
045,intermetallic,3,3,-2.8482284545898438,-2.8482284545898438,0.0
046,compound,3,3,-8.329967498779297,-7.671304702758789,0.6586627960205078
047,compound,3,3,-10.486995697021484,-10.415063858032227,0.07193183898925781
048,intermetallic,3,3,-2.9037342071533203,-2.9037342071533203,0.0
049,compound,3,3,-8.628105163574219,-7.621452331542969,1.00665283203125
050,compound,3,3,-11.695304870605469,-11.695274353027344,3.0517578125e-05
