dataset,n_cases,full_success_runs,full_total_runs,full_success_rate,one_shot_success_runs,one_shot_total_runs,one_shot_success_rate,paired_full_vs_1shot_successes,mean_delta_1shot_minus_full_eV,median_delta_1shot_minus_full_eV,full_mean_4backend_range_eV,one_shot_mean_4backend_range_eV,random_n20_mean_relax,heuristic_mean_relax
cmu20,20,80,80,1.0,73,80,0.9125,73,0.19230205718785115,0.017324447631835938,0.19521560668945312,0.4727958043416341,20.0,56.85
ocd62,62,245,248,0.9879032258064516,222,248,0.8951612903225806,222,0.328542846817154,0.06653022766113281,0.18274311941178112,0.3160730559250404,20.0,66.03225806451613
