Case,Full,-Slip,-Forbid,-Term,1-Shot
01,-3.630,-3.630,-3.624,-3.630,-3.557
02,-4.769,-4.769,-4.769,-4.769,-4.343
03,-3.352,-3.352,-3.352,-3.352,-3.352
04,-2.285,-2.283,-2.285,-2.243,-1.845
05,-2.962,-2.962,-2.962,-2.962,-2.962
06,-1.875,-2.165,-1.875,-2.165,
07,-7.051,-7.051,-7.051,-7.051,-6.883
08,-6.869,-7.191,-6.857,-7.191,
09,-1.991,-1.991,-1.991,-1.991,-1.804
10,-2.718,-2.718,-2.718,-2.718,-2.710
11,-2.418,-2.418,-2.418,-2.418,-2.418
12,-2.351,-2.351,-2.351,-2.351,-2.081
13,-2.825,-2.825,-2.825,-2.830,-2.825
14,-3.580,-3.591,-3.591,-3.591,-3.453
15,-3.258,-3.258,-3.258,-3.258,-2.767
16,-4.663,-4.272,-4.663,-4.663,-4.663
17,-3.241,-3.241,-3.241,-3.241,-2.692
18,-2.724,-3.215,-2.838,-3.215,-2.519
19,-4.013,-4.149,-4.149,-4.013,-4.013
20,-11.653,-11.652,-11.652,-11.652,-11.652
