Case, Full, -Slip, -Forbid, -Term, 1-Shot
01,-3.632,-3.632,-3.632,-3.632,-3.631
02,-4.766,-4.766,-4.760,-4.766,-4.150
04,-2.255,-2.039,-1.845,-2.255,-1.658
05,-2.962,-2.962,-2.962,-2.962,-2.947
09,-1.974,-1.974,-1.974,-1.974,-1.974
10,-2.718,-2.718,-2.718,-2.718,-2.712
12,-2.351,-2.351,-2.351,-2.351,-2.081
13,-2.825,-2.825,-2.825,-2.825,-2.376
14,-3.617,-3.617,-3.617,-3.617,-3.245
15,-3.258,-3.258,-3.258,-3.258,-2.587
16,-4.663,-4.663,-4.663,-4.663,-4.552
17,-2.866,-3.146,-3.064,-3.064,-3.066
18,-3.129,-2.779,-3.129,-3.129,-2.418
19,-4.045,-3.594,-3.594,-4.027,-3.594
20,-11.653,-11.653,-11.652,-11.652,-10.603
