case_id,one_shot_energy_eV,full_energy_eV,delta_full_minus_one_shot_eV,full_iterations,full_slip_count,one_shot_slip_count
01,-3.5663492679595947,-3.6317179203033447,-0.06536865234375,5,4,1
02,-4.333539962768555,-4.765958786010742,-0.4324188232421875,4,3,1
09,-1.8013858795166016,-1.9739322662353516,-0.17254638671875,3,1,0
14,-3.2451114654541016,-3.6166324615478516,-0.37152099609375,5,4,1
19,-4.029319763183594,-3.8413848876953125,0.18793487548828125,5,3,1
