case_id,best_energy,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,-3.630558729171753,4,0,0.0,True,3,0,29590
02,-4.763652801513672,5,0,0.0,True,4,0,29402
03,-3.345616102218628,5,0,0.0,True,4,0,28373
04,-2.266033172607422,5,0,0.0,True,4,1,32998
05,-2.9406325817108154,3,0,0.0,True,1,0,21228
06,-2.0716514587402344,5,0,0.0,True,3,1,29781
07,-7.057926893234253,3,0,0.0,True,2,0,21996
08,-7.059978485107422,5,0,0.0,True,2,0,31603
09,-1.9934844970703125,3,0,0.0,True,0,0,19941
10,-2.718170166015625,3,0,0.0,True,2,0,21589
11,-2.4269561767578125,2,0,0.0,True,1,0,15867
12,-2.0954742431640625,2,0,0.0,True,1,0,15563
13,-2.827911376953125,3,0,0.0,True,2,0,21813
14,-3.6065597534179688,4,0,0.0,True,3,0,26829
15,-3.0005416870117188,3,0,0.0,True,3,1,22463
16,-4.613273620605469,5,0,0.0,True,2,1,26812
17,-2.8288726806640625,2,0,0.0,True,2,0,16122
18,-2.9137535095214844,5,0,0.0,True,2,0,28612
19,-4.0103759765625,5,0,0.0,True,4,1,30211
20,-11.161933898925781,5,0,0.0,True,5,3,33066
