case_id,best_energy,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,-3.628666639328003,4,0,0.0,True,3,0,28533
02,-4.764980316162109,4,0,0.0,True,3,0,29760
03,-3.351048231124878,3,0,0.0,True,1,0,21493
04,-2.258951187133789,5,0,0.0,True,3,1,32899
05,-2.9417006969451904,5,0,0.0,True,2,0,27623
06,-1.9227848052978516,5,0,0.0,True,2,1,30180
07,-7.005192518234253,4,0,0.0,True,3,0,28472
08,-6.910898208618164,5,0,0.0,True,4,2,32625
09,-1.9522991180419922,2,0,0.0,True,1,0,14653
10,-2.7150115966796875,3,0,0.0,True,2,0,20944
11,-2.437986373901367,2,0,0.0,True,1,0,15124
12,-2.346036911010742,3,0,0.0,True,2,0,21554
13,-2.8248958587646484,3,0,0.0,True,2,0,22031
14,-3.456451416015625,4,0,0.0,True,3,0,28459
15,-3.57489013671875,4,0,0.0,True,4,0,29197
16,-4.79632568359375,5,0,0.0,True,4,0,30095
17,-3.2786941528320312,5,0,0.0,True,3,0,28492
18,-3.2236251831054688,4,0,0.0,True,2,0,28111
19,-4.137535095214844,5,0,0.0,True,5,0,31043
20,-8.90877914428711,5,0,0.0,True,5,1,33307
