backend,case_id,variant,best_energy,success,failure_class,iterations,tokens_used,raw_status,error,full_energy,full_success,delta_vs_full_recomputed
GPT-5.4,001,no_forbid,-4.743199110031128,True,success,3,20821,success,,-4.743168592453003,True,-3.0517578125e-05
GPT-5.4,002,no_forbid,-3.5041396617889404,True,success,5,28996,success,,-3.5041396617889404,True,0.0
GPT-5.4,003,no_forbid,-3.134526014328003,True,success,3,21906,success,,-3.134526014328003,True,0.0
GPT-5.4,004,no_forbid,-7.2280120849609375,True,success,5,30254,success,,-7.2280120849609375,True,0.0
GPT-5.4,005,no_forbid,-6.2311553955078125,True,success,5,28815,success,,-6.176261901855469,True,-0.05489349365234375
GPT-5.4,006,no_forbid,-4.571258544921875,True,success,3,21812,success,,-5.4748687744140625,True,0.9036102294921875
GPT-5.4,007,no_forbid,-11.654779434204102,True,success,4,30794,success,,-11.658075332641602,True,0.0032958984375
GPT-5.4,008,no_forbid,-4.546131134033203,True,success,5,27890,success,,-4.546131134033203,True,0.0
GPT-5.4,009,no_forbid,-4.937219619750977,True,success,5,28957,success,,-4.700778961181641,True,-0.23644065856933594
GPT-5.4,010,no_forbid,-10.075138092041016,True,success,5,28194,success,,-10.075138092041016,True,0.0
GPT-5.4,011,no_forbid,-3.283937454223633,True,success,3,20703,success,,-3.283937454223633,True,0.0
GPT-5.4,012,no_forbid,-9.668697357177734,True,success,5,31879,success,,-9.668575286865234,True,-0.0001220703125
GPT-5.4,013,no_forbid,-3.3845176696777344,True,success,5,31752,success,,-3.3845252990722656,True,7.62939453125e-06
GPT-5.4,014,no_forbid,-7.563686370849609,True,success,5,31925,success,,-7.854701995849609,True,0.291015625
GPT-5.4,015,no_forbid,-10.606913566589355,True,success,5,30322,success,,-10.643351554870604,True,0.036437988281248224
GPT-5.4,016,no_forbid,-14.549540519714355,True,success,5,29767,success,,-14.549540519714355,True,0.0
GPT-5.4,017,no_forbid,-7.477747917175293,True,success,3,21577,success,,-7.4804487228393555,True,0.0027008056640625
GPT-5.4,018,no_forbid,-2.113140106201172,True,success,5,26265,success,,-2.113170623779297,True,3.0517578125e-05
GPT-5.4,019,no_forbid,-3.549367904663086,True,success,5,25862,success,,-3.493144989013672,True,-0.05622291564941406
GPT-5.4,020,no_forbid,-2.7164840698242188,True,success,5,29913,success,,-2.7164840698242188,True,0.0
GPT-5.4,021,no_forbid,-4.241508483886719,True,success,5,28305,success,,-4.417228698730469,True,0.17572021484375
GPT-5.4,022,no_forbid,-7.176612854003906,True,success,5,28004,success,,-7.176612854003906,True,0.0
GPT-5.4,023,no_forbid,-4.346961975097656,True,success,5,31890,success,,-4.346961975097656,True,0.0
GPT-5.4,024,no_forbid,-3.277761459350586,True,success,5,30364,success,,-3.2887935638427734,True,0.0110321044921875
GPT-5.4,025,no_forbid,-7.9674224853515625,True,success,5,33108,success,,-7.967422485351563,True,8.881784197001252e-16
GPT-5.4,026,no_forbid,-19.789199829101562,True,success,5,28687,success,,-19.71690368652344,True,-0.07229614257812145
GPT-5.4,027,no_forbid,-7.707094192504883,True,success,2,16436,success,,-7.707094192504883,True,0.0
GPT-5.4,028,no_forbid,-7.790651321411133,True,success,4,31545,success,,-7.268848419189453,True,-0.5218029022216797
GPT-5.4,029,no_forbid,-2.739093780517578,True,success,4,30553,success,,-2.721467971801758,True,-0.017625808715820312
GPT-5.4,030,no_forbid,-4.291963577270508,True,success,5,31592,success,,-4.292024612426758,True,6.103515625e-05
GPT-5.4,031,no_forbid,-7.312488555908203,True,success,5,30478,success,,-7.339723587036133,True,0.027235031127929688
GPT-5.4,032,no_forbid,-1.005523681640625,True,success,3,22937,success,,-1.094757080078125,True,0.0892333984375
GPT-5.4,033,no_forbid,-3.01446533203125,True,success,5,31089,success,,-3.056640625,True,0.04217529296875
GPT-5.4,034,no_forbid,-3.6072845458984375,True,success,5,28372,success,,-3.607467651367187,True,0.0001831054687495559
GPT-5.4,035,no_forbid,-4.36711311340332,True,success,5,27343,success,,-4.418554306030273,True,0.051441192626953125
GPT-5.4,036,no_forbid,-0.16718101501464844,True,success,5,27050,success,,-0.1671810150146484,True,-2.7755575615628914e-17
GPT-5.4,037,no_forbid,-10.363121032714844,True,success,5,27824,success,,-10.361473083496094,True,-0.00164794921875
GPT-5.4,038,no_forbid,-3.3191909790039062,True,success,5,29363,success,,-3.319252014160156,True,6.103515624955591e-05
GPT-5.4,039,no_forbid,-7.434549331665039,True,success,3,21182,success,,-7.434549331665039,True,0.0
GPT-5.4,040,no_forbid,-5.74797248840332,True,success,4,29928,success,,-5.455301284790039,True,-0.29267120361328125
GPT-5.4,041,no_forbid,-4.020530700683594,True,success,5,30360,success,,-4.019645690917969,True,-0.000885009765625
GPT-5.4,042,no_forbid,-2.5005111694335938,True,success,5,29324,success,,-2.4862289428710938,True,-0.0142822265625
GPT-5.4,043,no_forbid,,False,natural_failure,2,11657,failed,,,False,
GPT-5.4,044,no_forbid,-5.087776184082031,True,success,4,28134,success,,-5.068367004394531,True,-0.0194091796875
GPT-5.4,045,no_forbid,-2.8482284545898438,True,success,4,26849,success,,-2.848228454589844,True,4.440892098500626e-16
GPT-5.4,046,no_forbid,-7.812969207763672,True,success,3,20106,success,,-8.329936981201172,True,0.5169677734375
GPT-5.4,047,no_forbid,-10.486995697021484,True,success,4,26214,success,,-10.486995697021484,True,0.0
GPT-5.4,048,no_forbid,-2.903726577758789,True,success,2,14805,success,,-2.903726577758789,True,0.0
GPT-5.4,049,no_forbid,-8.627983093261719,True,success,5,28854,success,,-8.249351501464844,True,-0.378631591796875
GPT-5.4,050,no_forbid,-11.695274353027344,True,success,5,26169,success,,-11.695274353027344,True,0.0
GPT-5.4,001,no_termination,-4.959049940109253,True,success,5,26145,success,,-4.743168592453003,True,-0.21588134765625
GPT-5.4,002,no_termination,-3.5041396617889404,True,success,5,28210,success,,-3.5041396617889404,True,0.0
GPT-5.4,003,no_termination,-3.134526014328003,True,success,5,28465,success,,-3.134526014328003,True,0.0
GPT-5.4,004,no_termination,-7.2280120849609375,True,success,5,29144,success,,-7.2280120849609375,True,0.0
GPT-5.4,005,no_termination,-6.2310028076171875,True,success,5,28989,success,,-6.176261901855469,True,-0.05474090576171875
GPT-5.4,006,no_termination,-5.4723052978515625,True,success,5,26102,success,,-5.4748687744140625,True,0.0025634765625
GPT-5.4,007,no_termination,-11.659601211547852,True,success,4,48661,success,,-11.658075332641602,True,-0.00152587890625
GPT-5.4,008,no_termination,-4.546131134033203,True,success,5,28245,success,,-4.546131134033203,True,0.0
GPT-5.4,009,no_termination,-4.938257217407227,True,success,5,28496,success,,-4.700778961181641,True,-0.23747825622558594
GPT-5.4,010,no_termination,-10.075260162353516,True,success,5,26634,success,,-10.075138092041016,True,-0.0001220703125
GPT-5.4,011,no_termination,-3.283937454223633,True,success,5,30917,success,,-3.283937454223633,True,0.0
GPT-5.4,012,no_termination,-9.668331146240234,True,success,5,30751,success,,-9.668575286865234,True,0.000244140625
GPT-5.4,013,no_termination,-3.345592498779297,True,success,5,29735,success,,-3.3845252990722656,True,0.03893280029296875
GPT-5.4,014,no_termination,-7.724544525146484,True,success,5,32469,success,,-7.854701995849609,True,0.130157470703125
GPT-5.4,015,no_termination,-10.643351554870605,True,success,5,28209,success,,-10.643351554870604,True,-1.7763568394002505e-15
GPT-5.4,016,no_termination,-14.549540519714355,True,success,5,30305,success,,-14.549540519714355,True,0.0
GPT-5.4,017,no_termination,-8.466484069824219,True,success,5,27822,success,,-7.4804487228393555,True,-0.9860353469848633
GPT-5.4,018,no_termination,-2.113170623779297,True,success,5,24240,success,,-2.113170623779297,True,0.0
GPT-5.4,019,no_termination,-3.479452133178711,True,success,5,27058,success,,-3.493144989013672,True,0.013692855834960938
GPT-5.4,020,no_termination,-2.7175064086914062,True,success,5,28350,success,,-2.7164840698242188,True,-0.0010223388671875
GPT-5.4,021,no_termination,-4.877708435058594,True,success,5,27881,success,,-4.417228698730469,True,-0.460479736328125
GPT-5.4,022,no_termination,-7.159950256347656,True,success,5,26776,success,,-7.176612854003906,True,0.01666259765625
GPT-5.4,023,no_termination,-4.346961975097656,True,success,5,31550,success,,-4.346961975097656,True,0.0
GPT-5.4,024,no_termination,-3.288808822631836,True,success,5,28678,success,,-3.2887935638427734,True,-1.52587890625e-05
GPT-5.4,025,no_termination,-8.870079040527344,True,success,5,30346,success,,-7.967422485351563,True,-0.9026565551757804
GPT-5.4,026,no_termination,-19.717391967773438,True,success,5,26590,success,,-19.71690368652344,True,-0.0004882812499964473
GPT-5.4,027,no_termination,-7.707094192504883,True,success,5,28610,success,,-7.707094192504883,True,0.0
GPT-5.4,028,no_termination,-7.790712356567383,True,success,5,30443,success,,-7.268848419189453,True,-0.5218639373779297
GPT-5.4,029,no_termination,-2.739093780517578,True,success,5,29032,success,,-2.721467971801758,True,-0.017625808715820312
GPT-5.4,030,no_termination,-4.276355743408203,True,success,5,30718,success,,-4.292024612426758,True,0.015668869018554688
GPT-5.4,031,no_termination,-7.339723587036133,True,success,5,30396,success,,-7.339723587036133,True,0.0
GPT-5.4,032,no_termination,-1.094757080078125,True,success,5,32786,success,,-1.094757080078125,True,0.0
GPT-5.4,033,no_termination,-3.2235107421875,True,success,5,28418,success,,-3.056640625,True,-0.1668701171875
GPT-5.4,034,no_termination,-3.607513427734375,True,success,5,25841,success,,-3.607467651367187,True,-4.577636718794409e-05
GPT-5.4,035,no_termination,-4.418554306030273,True,success,5,25171,success,,-4.418554306030273,True,0.0
GPT-5.4,036,no_termination,-0.1658496856689453,True,success,5,25991,success,,-0.1671810150146484,True,0.0013313293457030972
GPT-5.4,037,no_termination,-10.361473083496094,True,success,5,26915,success,,-10.361473083496094,True,0.0
GPT-5.4,038,no_termination,-3.3192520141601562,True,success,5,28032,success,,-3.319252014160156,True,-4.440892098500626e-16
GPT-5.4,039,no_termination,-7.450052261352539,True,success,5,26528,success,,-7.434549331665039,True,-0.0155029296875
GPT-5.4,040,no_termination,-5.74797248840332,True,success,5,30193,success,,-5.455301284790039,True,-0.29267120361328125
GPT-5.4,041,no_termination,-4.029594421386719,True,success,5,29019,success,,-4.019645690917969,True,-0.00994873046875
GPT-5.4,042,no_termination,-2.4863510131835938,True,success,5,29811,success,,-2.4862289428710938,True,-0.0001220703125
GPT-5.4,043,no_termination,,False,natural_failure,3,17805,failed,,,False,
