case_id,original_energy,recovery_energy,recovery_minus_original,original_success,recovery_success
002,-7.1241912841796875,-7.1137542724609375,0.01043701171875,True,True
006,-7.403881072998047,-7.403881072998047,0.0,True,True
007,-10.710914611816406,-10.710853576660156,6.103515625e-05,True,True
008,-4.346961975097656,-4.346963882446289,-1.9073486328125e-06,True,True
009,-8.395408630371094,-7.9674224853515625,0.42798614501953125,True,True
010,-7.707033157348633,-7.707094192504883,-6.103515625e-05,True,True
011,-3.356536865234375,-3.3565673828125,-3.0517578125e-05,True,True
014,-5.222909927368164,-5.222896575927734,1.33514404296875e-05,True,True
017,-5.362604141235352,-5.362604141235352,0.0,True,True
018,-6.991722106933594,-6.991722106933594,0.0,True,True
020,-6.176322937011719,-6.176261901855469,6.103515625e-05,True,True
021,-3.6088905334472656,-3.6088905334472656,0.0,True,True
022,-3.3845176696777344,-3.3845252990722656,-7.62939453125e-06,True,True
