case_id,seed_count,min_energy,max_energy,mean_energy,std_energy,range_eV,canonical_seed42_energy,canonical_minus_best_seed_eV
01,5,-3.633732557296753,-3.627323865890503,-3.630400037765503,0.0025167659991494097,0.00640869140625,-3.627323865890503,0.00640869140625
02,5,-4.775278091430664,-4.763652801513672,-4.768841934204102,0.004720855401659405,0.011625289916992188,-4.769039154052734,0.0062389373779296875
03,5,-3.351963758468628,-3.338566541671753,-3.347227430343628,0.005421720670213142,0.013397216796875,-3.351963758468628,0.0
04,5,-2.270109176635742,-2.2549095153808594,-2.263355255126953,0.00622887515732611,0.015199661254882812,-2.2549095153808594,0.015199661254882812
05,5,-2.961643934249878,-2.940632581710815,-2.9508529186248778,0.00994926521408749,0.021011352539062944,-2.961643934249878,0.0
06,5,-2.164623260498047,-1.880289077758789,-2.0210235595703123,0.11687950786224087,0.2843341827392578,-2.164623260498047,0.0
07,5,-7.057926893234253,-6.996830701828003,-7.023930311203003,0.02404591508998091,0.06109619140625,-7.030705213546753,0.0272216796875
08,5,-7.368223190307617,-6.910898208618164,-7.145374298095703,0.17077859760196215,0.4573249816894531,-7.190608978271484,0.1776142120361328
09,5,-1.9934844970703125,-1.952299118041992,-1.9837244033813477,0.017618858020376344,0.041185379028320535,-1.9912567138671875,0.002227783203125
10,5,-2.718170166015625,-2.7095260620117188,-2.713642692565918,0.003230409238042905,0.00864410400390625,-2.7095260620117188,0.00864410400390625
11,5,-2.441229820251465,-2.3692216873168945,-2.4113407135009766,0.03362691707195866,0.07200813293457031,-2.381309509277344,0.05992031097412065
12,5,-2.3609619140625,-2.0813217163085938,-2.195525550842285,0.1444100246451077,0.27964019775390625,-2.0813217163085938,0.27964019775390625
13,5,-2.827911376953125,-2.820197105407715,-2.824747657775879,0.002811006257591313,0.007714271545410156,-2.8251419067382812,0.00276947021484375
14,5,-3.6065597534179688,-3.456451416015625,-3.5716962814331055,0.06469171724195767,0.15010833740234375,-3.5911407470703125,0.01541900634765625
15,5,-3.57489013671875,-2.9270095825195312,-3.167481231689453,0.25882393168522305,0.6478805541992188,-3.257709503173828,0.3171806335449219
16,5,-4.79632568359375,-4.272052764892578,-4.603485870361328,0.19721257003398207,0.5242729187011719,-4.272052764892578,0.5242729187011719
17,5,-3.2786941528320312,-2.8288726806640625,-3.1754241943359376,0.19422061604310217,0.44982147216796875,-3.241016387939453,0.037677764892578125
18,5,-3.2285842895507812,-2.7240142822265625,-2.9958740234375,0.2224940426649873,0.5045700073242188,-2.7240142822265625,0.5045700073242188
19,5,-4.137535095214844,-4.0103759765625,-4.040289306640625,0.05461971469016408,0.12715911865234375,-4.0125274658203125,0.12500762939453125
20,5,-11.652278900146484,-8.90877914428711,-10.330455780029297,1.2677307828734576,2.743499755859375,-11.652278900146484,0.0
