case_id,variant,best_energy,best_backend,success_count,attempts,natural_failures,invalid_failures,external_failures,full_casebest_energy,delta_vs_full_casebest
012,full,-2.772481918334961,Grok-4,4,4,0,0,0,-2.772481918334961,0.0
012,no_forbid,-2.746053695678711,GPT-5.4,4,4,0,0,0,-2.772481918334961,0.02642822265625
012,no_slip,-2.700719833374023,Grok-4,4,4,0,0,0,-2.772481918334961,0.07176208496093794
012,no_termination,-2.746053695678711,Claude Sonnet 4.6,4,4,0,0,0,-2.772481918334961,0.02642822265625
012,single_shot,-2.3598690032958984,Gemini 2.5 Pro,4,4,0,0,0,-2.772481918334961,0.4126129150390625
013,full,-10.361473083496094,GPT-5.4,4,4,0,0,0,-10.361473083496094,0.0
013,no_forbid,-10.361473083496094,GPT-5.4,4,4,0,0,0,-10.361473083496094,0.0
013,no_slip,-10.361473083496094,Gemini 2.5 Pro,4,4,0,0,0,-10.361473083496094,0.0
013,no_termination,-10.361473083496094,Gemini 2.5 Pro,4,4,0,0,0,-10.361473083496094,0.0
013,single_shot,-9.077659606933594,Grok-4,4,4,0,0,0,-10.361473083496094,1.2838134765625
014,full,-5.222894668579102,Gemini 2.5 Pro,4,4,0,0,0,-5.222894668579102,0.0
014,no_forbid,-5.222879409790039,Gemini 2.5 Pro,4,4,0,0,0,-5.222894668579102,1.52587890625e-05
014,no_slip,-5.222894668579102,Claude Sonnet 4.6,4,4,0,0,0,-5.222894668579102,0.0
014,no_termination,-5.222909927368164,Grok-4,4,4,0,0,0,-5.222894668579102,-1.52587890625e-05
014,single_shot,-5.207887649536133,GPT-5.4,4,4,0,0,0,-5.222894668579102,0.01500701904296875
015,full,-1.5510482788085938,GPT-5.4,4,4,0,0,0,-1.5510482788085938,0.0
015,no_forbid,-1.570451736450195,Gemini 2.5 Pro,4,4,0,0,0,-1.5510482788085938,-0.01940345764160134
015,no_slip,-1.570451736450195,Claude Sonnet 4.6,4,4,0,0,0,-1.5510482788085938,-0.01940345764160134
015,no_termination,-1.5585556030273438,GPT-5.4,4,4,0,0,0,-1.5510482788085938,-0.00750732421875
015,single_shot,-1.5704212188720703,GPT-5.4,4,4,0,0,0,-1.5510482788085938,-0.019372940063476562
016,full,-12.99872589111328,GPT-5.4,4,4,0,0,0,-12.99872589111328,0.0
016,no_forbid,-12.99872589111328,Gemini 2.5 Pro,4,4,0,0,0,-12.99872589111328,0.0
016,no_slip,-12.998695373535156,GPT-5.4,4,4,0,0,0,-12.99872589111328,3.0517578123223643e-05
016,no_termination,-12.998695373535156,GPT-5.4,4,4,0,0,0,-12.99872589111328,3.0517578123223643e-05
016,single_shot,-12.998695373535156,Grok-4,4,4,0,0,0,-12.99872589111328,3.0517578123223643e-05
017,full,-5.363460540771484,Gemini 2.5 Pro,4,4,0,0,0,-5.363460540771484,0.0
017,no_forbid,-5.363460540771484,GPT-5.4,4,4,0,0,0,-5.363460540771484,0.0
017,no_slip,-5.363460540771484,GPT-5.4,4,4,0,0,0,-5.363460540771484,0.0
017,no_termination,-5.363246917724609,Claude Sonnet 4.6,4,4,0,0,0,-5.363460540771484,0.000213623046875
017,single_shot,-5.362634658813477,Gemini 2.5 Pro,2,4,1,0,1,-5.363460540771484,0.0008258819580078125
018,full,-6.991722106933594,GPT-5.4,4,4,0,0,0,-6.991722106933594,0.0
018,no_forbid,-6.991722106933594,GPT-5.4,4,4,0,0,0,-6.991722106933594,0.0
018,no_slip,-7.120536804199219,Gemini 2.5 Pro,4,4,0,0,0,-6.991722106933594,-0.128814697265625
018,no_termination,-6.991722106933594,GPT-5.4,4,4,0,0,0,-6.991722106933594,0.0
018,single_shot,-6.991722106933594,GPT-5.4,4,4,0,0,0,-6.991722106933594,0.0
019,full,-3.5041396617889404,GPT-5.4,4,4,0,0,0,-3.5041396617889404,0.0
019,no_forbid,-3.5041396617889404,GPT-5.4,4,4,0,0,0,-3.5041396617889404,0.0
019,no_slip,-3.5041396617889404,Gemini 2.5 Pro,4,4,0,0,0,-3.5041396617889404,0.0
019,no_termination,-3.5041396617889404,GPT-5.4,4,4,0,0,0,-3.5041396617889404,0.0
019,single_shot,-3.5041396617889404,GPT-5.4,4,4,0,0,0,-3.5041396617889404,0.0
020,full,-6.2419586181640625,GPT-5.4,4,4,0,0,0,-6.2419586181640625,0.0
020,no_forbid,-6.2400054931640625,Claude Sonnet 4.6,4,4,0,0,0,-6.2419586181640625,0.001953125
020,no_slip,-6.2419586181640625,Claude Sonnet 4.6,4,4,0,0,0,-6.2419586181640625,0.0
020,no_termination,-6.2419586181640625,Claude Sonnet 4.6,4,4,0,0,0,-6.2419586181640625,0.0
020,single_shot,-6.176261901855469,GPT-5.4,4,4,0,0,0,-6.2419586181640625,0.06569671630859375
021,full,-3.6088905334472656,Grok-4,4,4,0,0,0,-3.6088905334472656,0.0
021,no_forbid,-3.6048831939697266,Grok-4,4,4,0,0,0,-3.6088905334472656,0.0040073394775390625
021,no_slip,-3.6048831939697266,Gemini 2.5 Pro,4,4,0,0,0,-3.6088905334472656,0.0040073394775390625
021,no_termination,-3.6088905334472656,Grok-4,4,4,0,0,0,-3.6088905334472656,0.0
021,single_shot,-3.4414615631103516,GPT-5.4,4,4,0,0,0,-3.6088905334472656,0.16742897033691406
022,full,-3.3845252990722656,Gemini 2.5 Pro,4,4,0,0,0,-3.3845252990722656,0.0
022,no_forbid,-3.384532928466797,Grok-4,4,4,0,0,0,-3.3845252990722656,-7.62939453125e-06
022,no_slip,-3.3845176696777344,GPT-5.4,4,4,0,0,0,-3.3845252990722656,7.62939453125e-06
022,no_termination,-3.3845176696777344,Gemini 2.5 Pro,4,4,0,0,0,-3.3845252990722656,7.62939453125e-06
022,single_shot,-2.735858917236328,Grok-4,2,4,2,0,0,-3.3845252990722656,0.6486663818359375
023,full,-14.549540519714355,GPT-5.4,4,4,0,0,0,-14.549540519714355,0.0
023,no_forbid,-14.549540519714355,GPT-5.4,4,4,0,0,0,-14.549540519714355,0.0
023,no_slip,-14.549540519714355,GPT-5.4,4,4,0,0,0,-14.549540519714355,0.0
023,no_termination,-14.549540519714355,GPT-5.4,4,4,0,0,0,-14.549540519714355,0.0
023,single_shot,-14.256022453308104,GPT-5.4,4,4,0,0,0,-14.549540519714355,0.2935180664062518
024,full,-3.715871810913086,GPT-5.4,4,4,0,0,0,-3.715871810913086,0.0
024,no_forbid,-3.715871810913086,GPT-5.4,4,4,0,0,0,-3.715871810913086,0.0
024,no_slip,-3.715871810913086,GPT-5.4,4,4,0,0,0,-3.715871810913086,0.0
024,no_termination,-3.715871810913086,GPT-5.4,4,4,0,0,0,-3.715871810913086,0.0
024,single_shot,-3.376506805419922,GPT-5.4,4,4,0,0,0,-3.715871810913086,0.33936500549316406
