case_id,variant,backend_count,available_backend_count,success_backend_count,failed_backend_count,min_best_energy,max_best_energy,range_best_energy,mean_best_energy,median_best_energy,min_delta_vs_full,max_delta_vs_full,range_delta_vs_full,mean_delta_vs_full,median_delta_vs_full,success_backends,failed_backends,gemini_best_energy,gemini_delta_vs_full,gemini_success,grok4_best_energy,grok4_delta_vs_full,grok4_success,openai_gpt54_best_energy,openai_gpt54_delta_vs_full,openai_gpt54_success,anthropic_claude_best_energy,anthropic_claude_delta_vs_full,anthropic_claude_success
01,full,4,4,4,0,-3.6317179203033447,-3.627323865890503,0.004394054412841797,-3.630222797393799,-3.630924701690674,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6317179203033447,0.0,True,-3.6317179203033447,0.0,True,-3.627323865890503,0.0,True,-3.630131483078003,0.0,True
01,no_forbid,4,4,4,0,-3.6317179203033447,-3.623600721359253,0.008117198944091797,-3.6285901069641113,-3.629520893096924,0.0,0.00653076171875,0.00653076171875,0.0016326904296875,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6317179203033447,0.0,True,-3.6317179203033447,0.0,True,-3.627323865890503,0.0,True,-3.623600721359253,0.00653076171875,True
01,no_slip,4,4,4,0,-3.6317179203033447,-3.627323865890503,0.004394054412841797,-3.630222797393799,-3.630924701690674,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6317179203033447,0.0,True,-3.6317179203033447,0.0,True,-3.627323865890503,0.0,True,-3.630131483078003,0.0,True
01,no_termination,4,4,4,0,-3.6317179203033447,-3.630131483078003,0.0015864372253417969,-3.630924701690674,-3.630924701690674,-0.0028076171875,0.0,0.0028076171875,-0.000701904296875,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6317179203033447,0.0,True,-3.6317179203033447,0.0,True,-3.630131483078003,-0.0028076171875,True,-3.630131483078003,0.0,True
01,single_shot,4,4,4,0,-3.6311686038970947,-3.557255506515503,0.0739130973815918,-3.594212055206299,-3.594212055206299,0.00054931640625,0.0728759765625,0.07232666015625,0.0360107421875,0.035308837890625,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6311686038970947,0.00054931640625,True,-3.6311686038970947,0.00054931640625,True,-3.557255506515503,0.070068359375,True,-3.557255506515503,0.0728759765625,True
02,full,4,4,4,0,-4.769039154052734,-4.765958786010742,0.0030803680419921875,-4.767498970031738,-4.767498970031738,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-4.765958786010742,0.0,True,-4.765958786010742,0.0,True,-4.769039154052734,0.0,True,-4.769039154052734,0.0,True
02,no_forbid,4,4,4,0,-4.769039154052734,-4.759977340698242,0.009061813354492188,-4.765942573547363,-4.767376899719238,0.0,0.0059814453125,0.0059814453125,0.001556396484375,0.0001220703125,"gemini,grok4,openai_gpt54,anthropic_claude",,-4.765714645385742,0.000244140625,True,-4.759977340698242,0.0059814453125,True,-4.769039154052734,0.0,True,-4.769039154052734,0.0,True
02,no_slip,4,4,4,0,-4.769039154052734,-4.764400482177734,0.004638671875,-4.766293525695801,-4.765867233276367,0.0,0.004638671875,0.004638671875,0.0012054443359375,9.1552734375e-05,"gemini,grok4,openai_gpt54,anthropic_claude",,-4.765775680541992,0.00018310546875,True,-4.765958786010742,0.0,True,-4.764400482177734,0.004638671875,True,-4.769039154052734,0.0,True
02,no_termination,4,4,4,0,-4.769039154052734,-4.765958786010742,0.0030803680419921875,-4.767498970031738,-4.767498970031738,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-4.765958786010742,0.0,True,-4.765958786010742,0.0,True,-4.769039154052734,0.0,True,-4.769039154052734,0.0,True
02,single_shot,4,4,4,0,-4.765958786010742,-4.150495529174805,0.6154632568359375,-4.400544166564941,-4.342861175537109,0.0,0.6154632568359375,0.6154632568359375,0.3669548034667969,0.426177978515625,"gemini,grok4,openai_gpt54,anthropic_claude",,-4.765958786010742,0.0,True,-4.150495529174805,0.6154632568359375,True,-4.342861175537109,0.426177978515625,True,-4.342861175537109,0.426177978515625,True
